id_n,restaurant_name,restaurant_yelp_price,restaurant_yelp_pricelevel,restaurant_yelp_cuisine,restaurant_main_cuisine,restaurant_address,restaurant_year_opened,restaurant_age,restaurant_yelp_av_rating,menu_year,menu_n_dishes,menu_descr_length,menu_descr_size,menu_craft_auth,menu_nat_auth,menu_avg_price,menu_min_price,menu_descr_length_abs,menu_descr_size_abs,menu_craft_auth_abs,menu_nat_auth_abs,reviewer_experience,reviewer_local,dc,michelin_rank,restaurant_star,guide_dummy,menu_year2017,best_out_dc,control_1,trend_dc,trend_boston,price_matched,priorstanding,priorstanding_vs_control1,priorstanding_vs_control2
1,Alden & Harlow,$$$,3,"American (Traditional), Breakfast & Brunch",American (Traditional),"40 Brattle St Cambridge, MA 02138",2014,4,3.982,2016,30,12.89999962,0.0,0.300000012,0.230000004,16.05,12.0,387.0,0.0,9.0,7.0,124.0,0.332,0,4,1.0,1,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1,Alden & Harlow,$$$,3,"American (Traditional), Breakfast & Brunch",American (Traditional),"40 Brattle St Cambridge, MA 02138",2014,4,3.986,2017,30,12.89999962,0.0,0.029999999,0.230000004,16.04,12.0,387.0,0.0,1.0,7.0,124.0,0.332,0,4,1.0,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
3,Bergamot,$$$,3,"American (New), Cocktail Bars, Wine Bars",American (New),"118 Beacon St Somerville, MA 02143",2010,8,4.0,2016,12,9.829999924,0.079999998,0.170000002,0.0,27.4,26.0,118.0,1.0,2.0,0.0,83.0,0.203,0,4,1.0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
3,Bergamot,$$$,3,"American (New), Cocktail Bars, Wine Bars",American (New),"118 Beacon St Somerville, MA 02143",2010,8,4.5,2017,12,9.670000076,0.0,0.0,0.0,26.0,18.0,116.0,0.0,0.0,0.0,83.0,0.203,0,4,1.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5,Erbaluce,$$$,3,Italian,Italian,"69 Church St Boston, MA 02116",2008,10,4.5,2016,8,11.75,0.0,0.129999995,0.5,25.5,22.0,94.0,0.0,1.0,4.0,75.0,0.295,0,4,1.0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5,Erbaluce,$$$,3,Italian,Italian,"69 Church St Boston, MA 02116",2008,10,4.5,2017,8,10.63000011,0.0,0.0,0.629999995,25.5,21.0,85.0,0.0,0.0,5.0,75.0,0.295,0,4,1.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6,L??Espalier,$$$$,4,"French, Wine Bars, British",French,"774 Boylston St Boston, MA 02199",2005,13,4.235,2016,11,28.09000015,0.090000004,0.270000011,0.180000007,,,309.0,1.0,3.0,2.0,112.0,0.219,0,4,1.0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6,L??Espalier,$$$$,4,"French, Wine Bars, British",French,"774 Boylston St Boston, MA 02199",2005,13,4.214,2017,8,25.75,0.0,0.25,0.129999995,,,206.0,0.0,2.0,1.0,112.0,0.219,0,4,1.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7,Meritage Restaurant,$$$$,4,"American (New), Seafood, Wine Bars",American (New),"70 Rowes Wharf Boston, MA 02110",2005,13,3.925,2016,26,10.85000038,0.039999999,0.039999999,0.189999998,26.79,13.0,282.0,1.0,1.0,5.0,63.0,0.8,0,4,1.0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7,Meritage Restaurant,$$$$,4,"American (New), Seafood, Wine Bars",American (New),"70 Rowes Wharf Boston, MA 02110",2005,13,3.92,2017,30,11.13000011,0.029999999,0.0,0.029999999,32.5,15.0,334.0,1.0,0.0,1.0,63.0,0.8,0,4,1.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
